 INFO  Accepting connections at http://localhost:3001
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/2/2026 7:54:49 PM ::1 GET /
 HTTP  6/2/2026 7:54:49 PM ::1 Returned 200 in 2 ms
 HTTP  6/2/2026 7:54:49 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  6/2/2026 7:54:49 PM ::1 Returned 404 in 5 ms
 HTTP  6/2/2026 7:54:49 PM ::1 GET /brand-assets/upwork-up.svg
 HTTP  6/2/2026 7:54:49 PM ::1 Returned 200 in 3 ms
 HTTP  6/2/2026 7:54:49 PM ::1 GET /brand-assets/fiverr-fi.svg
 HTTP  6/2/2026 7:54:49 PM ::1 Returned 200 in 2 ms
 HTTP  6/2/2026 7:54:49 PM ::1 GET /portfolio/saudi/kayanee-mobile.png
 HTTP  6/2/2026 7:54:49 PM ::1 Returned 200 in 2 ms
